CLID	NAME	SKT009 AML	SKN005 Normal Kidney	SKN003 Normal Kidney	SKN013  Kidney	SKT010 Chromophobe RCCA II	SKT019 Chromophobe RCCA IV	PKT005 Chromophobe RCCA III	SKT014 Oncocytoma	CKT030-Oncocytoma	PKT004 Conventional/granular RCCA II	SKT029-Conventional/granular RCC II	SKT008 Conventional/granular RCCA III	SKT018 Conventional/granular RCCA III	SKT016 Papillary RCCA III	SKT022 Papillary RCCA II	SKT030-Papillary RCC II	PKT001 Conventional/granular RCC III	SKT033-Papillary RCC II	Perth 00-0130 Conventional/clear cell RCC II	PKT003 Conventional/clear RCCA II	SKR012 Conventional/clear RCCA III Thrombus	SKT012 Conventional/clear RCCA III	SKT032-Conventional/clear RCC III	SKR032-Conventional/clear RCC thrombus	CKT002 Conventional/clear RCC III	SKT024 Conventional/clear RCCA II	CKR001 Conventional/clear RCC II Caval Thrombus	CKT001 Conventional/clear RCC II	PKT002 Conventional/clear cell RCCA I	SKT002 Conventional/clear RCCA II	SKT027 Conventional/clear RCCA III	SKT023 Conventional/clear RCCA II	SKT026 Conventional/clear RCCA III	SKT011 Conventional/clear RCCA II	SKT004 Conventional/clear RCCA II	SKT017 Conventional/clear RCCA II	SKT035B-conventional/clear RCC II	Perth 99-1262 Conventional/clear cell RCC II	SKT003 Conventional/clear RCCA III	SKT006 Conventional/clear RCCA II	SKT034-conventional/clear RCC II	Perth 99-1182 Conventional/clear cell RCCA II	CKT006 Conventional/clear RCC I	CKT003 Conventional/clear RCC III
"1=Pcorr_Hypoxia_Low :: Correlation || PLoS Med. 2006 | PMID:16417408, 2=Pcorr_Hypoxia_High :: Correlation || PLoS Med. 2006 | PMID:16417408"	NaN	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408
23036	23036	-0.52	-0.76	-0.61	-0.35	-0.01	1	0.55	0.32	0.79	0.56	0.06	-0.56	0.77	0.17	0.06	-0.4	-0.72	-0.43	-0.01	-1.82	-1.52	-1.48	-0.32	-0.06	-0.49	-0.42	0.37	-0.1	0.51	0.47	0.37	0.13	0.21	0.51	0.36	0.2	0.83	-0.11	0.89	0.85	0.55	0.1	0.13	-0.09
11067	11067	1.35	-3.34	-0.395	-1.4817	-1.8225	-1.81	0.18	-0.1988	-0.475	0.94	0.82	-1.575	-2.33	-1.095	-1.99	-0.695	-1.82	-1.82	-0.07	-1.985	1.16	1.53	0.76	1.62	-0.39	1.075	0.01	0.87	-0.5	2.05	1.65	1.955	1	0.1267	-0.265	1.285	0.975	1.7	-0.615	0.6828	0.735	0.645	1.42	-0.555
10397	10397	-2.72	0.4	-0.42	-0.07	-0.17	0.63	0.92	-1.24	-1.99	-0.26	-1.64	-4.34	-0.21	-0.72	-2.27	-1.71	-1.22	-0.26	-0.53	-0.5	0.52	1.54	0.41	0.35	1.54	0.52	0.87	1.48	0	0.5	1.36	0.9	1.12	0.92	0.52	0.13	0.12	0.72	0.91	1.13	1.27	-0.25	0.38	1.33
6513	6513	-1.44	-1.63	-1.22	-1.69	-2.42	-1.3	-0.73	-1.31	-2.52	-1.17	-1.81	-0.56	-1.26	-1.148	-2.82	-2.29	-3.28	-0.94	0.38	-0.05	-0.22	0.6	1.68	1.98	2.28	1.37	2.5	3.24	1.24	0.23	1.47	0.91	1.63	1.32	0.17	0.77	1.24	1.92	0.88	0.63	0.15	0.49	0.97	0.58
9123	9123	-2.53	-2.22	-2.45	-1.76	-0.94	-3.05	-1.68	-0.61	-1.78	-0.31	-3.17	-2.54	-1.29	0.82	0.06	-0.25	-0.71	0.54	0.47	-0.55	1.21	1.86	1.87	1.94	1.41	1.13	0.5	1.48	1.55	0.09	0.63	0.25	0.78	0.51	0.01	0.82	0.74	0.78	1.04	0.97	0.83	0.92	1.17	1.45
2116	2116	0.98	0.69	0.75	1.05	4.23	0.427777778	1.52	1.67	1.91	2.18	1.96	2.44	0.17	1.21	-0.28	0.37	-1.8	0.45	-0.95	-1.32	0.61	1.07	-1.76	-1.03	0.53	-0.67	-1.86	0.184444444	-0.51	-0.64	0.14	-0.87	-0.72	-0.9	-1.2	-2.04	-1.43	-0.75	-0.57	-0.105	-3.46	-1.04	0.16	-0.23
5351	5351	-0.1	0.2	-0.74	-0.6	-1.795	-1.6	-1.61	-1.62	-2.12	-1.22	-1.05	0.22	-0.32	-0.31	-1.46	-0.64	-0.82	0.15	-0.3	0.1	1.55	2	0.43	0.98	1.34	0.95	0.54	1.002222222	1.2	0.39	1.19	0.08	0.06	0.23	0.2	0.65	-0.24	0.28	0.52	0.18	0.14	0.06	0.71	0.4
284439	284439	-0.03	2.47	0.84	1.28	0.46	-0.45	-0.13	-0.82	-1.07	-0.58	-1.265555556	1.6	-0.57	-0.48	-1.7	-0.99	-1.18	-0.68	-1.89	-0.41	-0.8	0.78	-0.47	-1.85	1.07	-1.07	0.05	0.81	0.28	0.63	0.99	-0.17	0.36	-0.4	0.61	0.07	-0.6	-0.09	1	0.47	0.13	1.25	0.76	0.51
10144	10144	0.57	-0.485	-0.29	-0.7138	-0.2556	0.31	0.165	-0.195	-0.28	-0.685	-1.6825	0.64	-2.26	-1.365	-1.52	-1.2178	-1.48	-0.583	0.065	-1.475	-1.2281	-0.1187	-0.51	0.545	2.15	-0.06	1.79	1.7483	1.2	0.75	-0.66	1.205	0.34	1.455	0.895	-0.54	-0.28	0.715	1.33	-0.195	0.335	-0.52	-0.295	0.41
9976	9976	1.105	-0.25	-0.775	-1.015	-2.03	-1.455	-1.101	-1.5506	-1.725	-0.57	-1.615	-0.54	-0.87	-1.485	-0.895	-1.045	-1.403	0.11	0.085	1.2075	1.695	2.045	1.028	0.235	1.27	0.095	0.56	1.015	0.325	0.795	-0.05	0.15	0.46	0.5	0.9	0.745	0.645	-0.375	0.51	0.625	0.4715	-0.47	0.145	0.415
667	667	-0.45	-0.95125	-0.342222222	0.21	0.53	-0.98	0.97	0.47	0.9	1.75	0.506666667	-0.782	-1.14	0.44	0.97	0.65	-0.31	0.18	0.304	-2.62	0.21	0.11	0.46	0.23	-0.423333333	0.57	-0.09	0.147	0.56	-0.84	0.287	0.40125	0.304	0.12	0.01	-0.4	0.32	0.06	-1.47	0.158888889	-1.63	0.045555556	0.21	-0.288
114907	114907	2.14	-0.6	-0.25	-0.56	0.1	0.24	1.88	1.84	1.9	1.18	1.9	1.17	1.13	-0.26	-1.16	-1.15	-0.75	-0.52	-1.35	-0.11	1.18	0.71	-0.2	-0.39	0.07	0.69	-0.11	0.09	0.35	0.73	-0.89	-1.55	-2.12	-0.12	0.52	-0.04	0.13	-1.05	-0.74	-0.18	-0.36	-2.81	-0.71	0.03
283131	283131	2.05	-2.15	-1.12	-1.95	-2.05	-0.91	-1.21	-1.33	-0.37	-0.77	-0.74	2	1.59	1.55	1.27	-0.1	1.79	0.36	-1.42	-1.56	-0.12	-0.7	0.75	2.02	-0.82	0.58	1.6	0.65	0.67	0.22	-0.33	0.42	0.74	-1.19	0.51	0.63	-0.72	0.81	1.31	-1.81	-0.21	-0.36	-0.51	0.95
1808	1808	-0.39	-0.89	-0.33	-0.28	-3.16	-2.66	-1.78	-1.32	-2.09	-1.15	-1.2	-1.71	-0.29	-0.89	-0.86	-0.05	0.11	-0.09	0.29	1.02	-0.42	0.34	0.64	-0.46	1.08	0.54	0.74	1.1	0.98	1.15	1.6	0.8	0.53	0.838	0.36	0.91	0.54	0.29	0.96	1.17	0.76	0.59	1.24	0.98
3948	3948	0.1	0.042222222	-0.65375	-0.511428571	-0.264444444	0.23	0.22	0.36	-0.26	0.06	-0.57	-0.64375	-0.13	-0.48	-0.96	-1.79	-0.5	-0.84	-1.61	0.71	-1.34	-0.022222222	0.44	0.41	0.40625	0.87	0.307142857	0.655555556	0.805	0.68	0.97	0.24	0.01	1.05	0.658888889	0.31	0.3	-0.13	0.932222222	0.46	0.66	0.02	1.18	0.096666667
10903	10903	-1.14	0.01	-0.14	-1.18	-3.33	-2.65	-2.31	-2.08	-3.31	-1.65	-3.47	-1.4	0.07	0.27	0.25	0.14	0.97	0.39	0.77	1.35	0.27	1.51	1.41	2.14	0.66	0.28	-0.17	1.13125	0.3	1.82	-0.81	0.85	0.678	1.08	1.35	0.87	0.55	0.58	1.74	1.62	0.96	0.11	1.3	0.604
4940	4940	2.15	1.39	1.67	1.71	2.52	-0.82	-0.46	0.136666667	0.04	1.24	2.02	-0.98	0.48	-1.2	-0.13	0.17	-3.84	-1.59	-1.5	-2.15	-0.962857143	-2.42	-1.43	-0.07625	-3.07	0.39	0.46	-0.6	0.3	1.01	-2.57	-1.73	-0.01	0.77	-0.25	0.98	1.53	1.98	1.41	1.4	-0.64	0.54	0.44	0.79
112399	112399	-4.775	-2.6125	-2.79	-3.2757	-5.765	-2.8372	-3.445	-3.6619	-3.0758	-2.3321	-2.6036	-3.795	-3.935	-1.42	-1.76	-3.1956	-1.09	-1.61	1.295	1.62	0.7972	1.035	0.705	1.53	3.715	1.705	2.52	2.01	1.46	1.275	2.13	2.235	1.8	1.9717	0.955	1.12	1.42	1.915	2.075	1.705	1.36	2.335	2.095	0.575
6781	6781	0.05	1.83	0.14	1.29	-5.02	-2	-1.33	-2.035714286	-2.668571429	-1.14	-1.16	-2.82	-2.52	-3.24	-4.42	-2.26	-4.6	-3.67	0.65	0.43	1.38	1.22	-1.48	1.52	2.95	1.58	3.42	2.56	1.39	2.06	1.19	2.32	1.06	2.2	1.45	1.66	1.146	-0.22	1.1	0.89	0.625	0.38	0.35	0.81
8819	8819	-0.03	-1.33	-1.14	-1.63	-2.49	-1.61	-1.11	-1.75	-1.59	-1.87	-2.35	-0.23	-0.72	-1.13	-0.95	-1.21	-0.88	0.19	0.61	1.32	0.25	0.25	0.24	0.17	1.65	0.55	1.09	1.7	1.35	1.01	1.69	0.77	0.8	1.56	1.42	0.49	0.44	0.39	0.85	0.59	0.5	0.58	0.76	0.83
5169	5169	-1.64	-2.04	-1.8675	-2.157142857	-5.4	-2.595	-6.23	-6.08	-2.804285714	-1.974285714	-1.86875	-1.36	-2.91	-2.05	-1.61	-1.25875	-1.8	-1.18	0.53	1.36	-0.02	0.44	1.81	2.36	2.61	1.4	1.37	1.3	1.91	1.41	0.7	1.51	1.51	0.5	2.17	0.94	-0.31	1.36	1.93	2.44	-1.34	1.77	0.86	1.78
4015	4015	-1.05	-1.395	-1.89	-1.34	-3.92	-1.87	-1.675	-2.87	-3.745	-1.685	-1.375	-2.775	-2.715	-1.18	-2.394	-1.485	-2.94	-2.59	0.235	1.215	1.895	2.315	2.675	2.29	2.385	3.42	2.065	2.64	1.86	2.86	2.105	1.695	0.46	0.3	1.415	0.31	1.435	0.82	1.275	0.96	0.8	0.18	-0.51	-1.42
901	901	0.49	0.53	-0.49875	-0.286666667	0.86	1.87	1.96	0.54	0.5	1.21	0.11	-0.25	-0.55	-0.25	-1.19	-0.95	-1.19	-0.23	0.26	-1.464444444	-1.023333333	-0.906	0.16	-0.59	-0.75	-0.91	-0.74	0.11	0.02	0.537142857	-0.93	-0.47	0.45	0.51875	0.13	0.1	-0.05	-0.51	0.52	0.262222222	-0.14	-0.5	0.35	0.06
3486	3486	-2.26	-2.14	-1.38	-1.71	-5.68	-1.41	-1.15	-2.34	-1.54	-3.33	-3	-4.55	-1.08	-2.92	-2.79	-2.27	-2.46	-0.3	0.95	1.37	1.76	1.64	2.3	1.71	2.23	1.79	1.77	2.76	1.16	1.53	2.88	1.81	2.21	1.86	0.88	1.21	0.38	1.45	1.63	1.21	1.84	1.99	1.17	0.83
56477	56477	-0.03	-1.86	-0.62	-1.38	-0.59	-1.08	-1.35	-0.98	-2.25	-1.6	-1.23	-0.31	-1.64	1.32	3.07	1.27	0.29	1.5	-2.09	2.13	0.36	1.48	0.67	-0.78	-3.66	0.88	0.27	-0.16	0.29	0.9	1.47	0.69	0.83	-0.02	1.7	0.17	0.5	1.63	0.83	1.59	-1.77	0.56	0.68	-1.68
57561	57561	-1.305	-1.145	0.195	-0.845	-3.153	-1.34	-1.475	-1.19	-1.44	-0.685	-1.46	-2.3	-0.575	-0.985	-0.925	-1.16	-1.015	-0.935	0.145	0.975	0.26	-0.08	1.98	1.325	0.875	0.775	1.848	1.305	-0.085	0.52	1.645	1.285	1.025	0.61	-0.18	1.435	1.29	2.18	0.55	0.965	1.38	0.11	-0.19	-1.25
6531	6531	-3.12	-1.352	-1.52875	-3.32	-3.415555556	-1.93	-2.6	-2.84	-1.81	-1.8	-2.248	-1.425714286	-3.2	-1.87	-2.24	-1.7125	-2.038	-2.79	-2.6	3.13	0.962222222	1.404444444	0.718	1.596	2.098571429	1.67	2.124444444	2.15	1.334444444	3.64	-0.31	-0.56	0.73375	0.41	1.803333333	-0.19	0.92	1.46	0.76	0.12	0.38	2.14	7.35	7.05
665	665	0.22	-0.46	-0.28	-1.08	-3.12	-1.64	-1.41	-1.104285714	-1.1	-1.44	-1.74	-1.71	0.69	-0.01	-1.02	0.23	0.55	0.34	0.88	-0.21	-1.24	-0.6	0.731	0.8	0.26	1.1	0.74	1.21	0.57	0.96	1.93	0.34	-0.02	1.19	0.55	0.43	1.05	-0.18	0.71	1.14	0.976	0.5	0.66	0.18
5209	5209	2.17	-1.62	1.65	-0.48	-0.08	-2.9	-1.21	-1.85	-2.05	-0.54	-1.64	-1.68	-1.07	-0.33	-0.12	-0.07	-1.81	-0.27	0.62	-0.05	0.63	0.33	0.79	0.23	2.27	-0.99	2.1	1.41	0.77	-0.13	0.835	0.41	0.37	-0.14	0.16	1.31	0.67	0.88	0.26	0.63	0.66	0.07	0.41	0.21
857	857	0.15	-1.77	-0.96	-1.5	0.47	-0.12	1.19	-0.37	-2.23	-0.59	-1.23	-2.09	-1.5	-2.74	-2.08	-0.5	-0.85	-1.76	0.37	0.25	-0.31	-0.76	-0.09	0.42	1.17	2.06	1.14	1.16	1.62	1.2	0.49	1.13	0.56	0.92	1.52	0.6	0.59	0.99	1.02	1.24	0.06	0.57	0.17	0.39
6659	6659	0.94	-0.6025	0.21	-0.77	-1.1	0.3	0.42	-0.17	-0.19	-0.12	-1.11	-0.84	-0.05	1.78	0.67	1.77	1.8	0.94	-0.55	-1.87	-1.67	-2.14	-0.82	-0.83	-0.17	-0.24	1.04	-0.06	0.01	0.09	-0.21	0.43	0.73	1.15	-0.49	0.29	0.42	-0.36	0.05	0.71	-0.18	0.19	-0.52	0.51
133	133	0.83	-1.04	-2.05	-0.57	-0.13	0.07	0.18	-0.39	0.32	-1.11	-2.76	-2.9	-0.93	-0.99	-4.39	-3.2	-4.87	-1.53	0.99	-0.16	0.09	0.4	1.66	2.38	0.24	0.55	2.11	2.35	1.07	0.48	2.12	1.64	1.53	0.95	1.1	0.66	0.44	1.74	1.2	-0.11	0.27	1.79	0.41	-0.46
123	123	1.13	-0.085	-1.25	-1.74	-4.05	-2.29	-1.89	-2.4422	-3.24	-2.455	-2.915	-2.44	0.195	-1.735	-2.84	-2.835	-1.345	-0.16	-3.22	0.085	-1.965	-0.975	0.32	0.575	2.43	0.66	0.725	2.225	1.91	2.38	2.255	2.5	1.375	1.07	2.17	2.14	1.905	1.345	2.51	1.74	3.08	2.19	0.015	1.975
675	675	0.03	2.19	0.051428571	0.125	1.18	0.39	0.42	-1.14	-0.23	-1	-1.42	2.16	-0.904	-0.246	0.05	-1.34	-1.53	-1.54	0.39	1.72	0.03	0.96	-1.02	0.64	1.397142857	0.12	0.82125	1.05	0.65125	0.55	-0.2	0.082222222	1.72	0.556666667	0.49375	0.078	-1.66	-0.52	0.685	0.227142857	-2.16	0.8	-0.07	0.572222222
54487	54487	-0.59	-0.85	-1.05	-1.17	-0.93	-1.4	-0.63	-1.6	-1.83	-1.44	-1.63	-0.21	-1.24	-1.85	-2.1	-2.28	-1.94	-1.79	-0.51	1.13	0.96	1.54	0.16	0.72	2.37	0.77	1.34	1.76	1.253333333	1.67	0.72	0.61	-0.26	1.31	1.65	0.62	0.21	1.35	1.3	0.71	0.68	0.87	1.01	1.85
54940	54940	-0.9	-0.845	-1.052	-1.607777778	-1.755	-1.1	-1.8	-1.55	-1.794444444	-0.86	-2.86	-0.513333333	-1.46	-1.05	-1.12	-1.331111111	-2.59	-1.85	0.018	0.11	0.1725	1.13	-0.71	0.25	1.858888889	0.34	2.2	1.59	1.96	0.63	0.18	-0.06	0.542	0.8	2.06	0.15	0.84	1.04	1.23	0.56	0.46	0.22	0.71	1.46
8846	8846	0.47	-0.3	-0.75	-0.84	-1.07	-1.48	-1.11	-0.85	-1.25	-1.31	-1.08	-0.83	-0.25	-1.12	-1.6	-1.4	-1.23	-0.24	-1.73	0.43	-1.35	-0.82	-0.09	0.26	1.33	0.22	0.48	1.3	1.32	0.88	1.38	1.21	0.06	0.46	1.31	0.7	1.23	0.85	1.49	1.34	1.55	1.15	-0.02	1.31
5033	5033	-1.23	-0.43	-1.11	-1.75	-2.29	-0.72	-1.36	-0.865714286	-1.82	-1.06	-1.118	-1.86	0.63	-0.4	-1.32	-0.85	-0.78	0.08	0.73	-0.35	0.63	0.94	1.02	1.2	-0.6	0.17	0.4	0.36	1.76	0.68	0.83	0.9	0.82	1.37	0.35	0.23	0.51	1.03	0.56	0.59	0.56	0.74	0.65	0.16
5054	5054	-0.47	-1.51	0.27	-2	-2.69	-0.78	-0.96	-1.22	-0.78	-0.88	-1.41	-2.64	-0.84	-1.28	-0.88	-0.31	-0.98	0.09	0.02	-0.44	1.76	1.12	1.78	1.69	0.61	3	2.37	2.12	0.29	1.78	1.75	0.82	-0.37	0.17	0.26	1.23	1.82	0.72	-1.02	-1.11	-0.12	-0.62	-0.66	0.33
54775	54775	-1.74	-1.38	-1.35	-1.67	-2.79	-0.58	-1.05	-0.25	-0.51	-0.9	-2.03	-1.95	-0.35	-0.31	-1.58	-1.3	-0.71	-0.78	0.03	-2.96	-1.05	-0.2	0.51	1.17	-1.05	0.06	0.53	0.42	0.69	1.77	2.29	2.53	1.41	2.47	0.81	1.51	1.04	1.22	1.48	1.41	2.07	0.93	1.39	0.73
6038	6038	0.19	0.33	0	-0.61	-4.625	-2.455	-2.19	-2.99	-2.98	-2.265	-1.545	-4.185	-1.66	0.925	-0.595	0.645	0.76	0.7	0.275	1.09	-1.88	-1.095	0.855	-0.215	1.03	0.81	0.6628	0.8	0.475	1.245	1.48	1.455	2.12	1.36	1.57	1.025	1.15	0.765	1.51	1.595	0.505	1.255	1.59	1.585
5214	5214	-2.9	-2.15	0.26	-1.66	-2.2	-1.51	-1.53	-1.18	-0.4	-0.63	-1.29	-3.38	-0.08	0.05	-0.84	-0.51	-0.06	-0.05	0.59	-3.56	-0.08	0.88	1.53	1.11	0.82	0.88	0.3	0.65	0.55	1.07	2.03	1.56	1.08	1.45	0.34	1.05	1.04	1.56	1.07	0.62	1.42	0.18	1.15	0.76
64344	64344	-0.08	-0.81	-0.86	-0.89	-0.29	-0.75	-0.54	-0.73	-1	-0.68	-1.62	-0.23	-0.62	-0.95	-1.12	-1.67	-0.99	-0.93	-0.06	0.27	-0.42	0.16	0.34	1.11	0.86	0.99	0.81	1.24	1.2375	0.11	1.04	0.83	-0.05	-0.17	0.94	0.52	0.99	1.33	0.17	-0.21	1.64	0.9	0.89	0.55
219539	219539	-2.32	-1.22	-0.05	-0.39	-3.36	-1.14	-1.64	1	-0.2	-2.11	-0.97125	-3.47	-0.13	0.87	1.87	0.5	-1.3	0.43	-4.13	0.27	-0.74	1.04	0.2	-0.77	-0.305	0.092222222	-1.44	-1.21	1.04	1.65	1.54	1.19	1.39	1.07	0.85	0.59	0.66	0.43	2.32	1.64	0.63	1.43	1.84	1.2
1962	1962	0.06	-1.11	-0.87	-2.01	-2.27	-1.6	-0.93	-1.46	-2.89	-0.7	-0.62	-1.04	-0.48	-0.47	-0.96	0.11	-1.74	-0.95	0.51	1.64	1.78	1.08	0.72	1.52	1.426	0.62	3.25	2.218888889	0.56	0.58	1.08	0.57	0.87	1.48	0.626666667	0.77	1.04	1.12	0.29	0	-0.31	0.58	0.19	0.328
2026	2026	-1.62	-4.25	-0.81	-1.69625	-4.92	-0.6	-1.9	-2.83	-3.25	-1.79	-3.6	-2.97	0.88	-0.03	0.05	-0.13	0.81	0.12	2.35	-1.24	0.5575	0.22	1.5	1.57	2.06	0.68	1.99	2.05	2.3	1.126	1.96	1.15	1.65	1.197777778	1.1	0.87	0.39	1.02	1.26	0.926666667	0.48	1	1.56	0.91
