CLID	NAME	SKT009 AML	SKN005 Normal Kidney	SKN003 Normal Kidney	SKN013  Kidney	SKT010 Chromophobe RCCA II	SKT019 Chromophobe RCCA IV	PKT005 Chromophobe RCCA III	SKT014 Oncocytoma	CKT030-Oncocytoma	PKT004 Conventional/granular RCCA II	SKT029-Conventional/granular RCC II	SKT008 Conventional/granular RCCA III	SKT018 Conventional/granular RCCA III	SKT016 Papillary RCCA III	SKT022 Papillary RCCA II	SKT030-Papillary RCC II	PKT001 Conventional/granular RCC III	SKT033-Papillary RCC II	Perth 00-0130 Conventional/clear cell RCC II	PKT003 Conventional/clear RCCA II	SKR012 Conventional/clear RCCA III Thrombus	SKT012 Conventional/clear RCCA III	SKT032-Conventional/clear RCC III	SKR032-Conventional/clear RCC thrombus	CKT002 Conventional/clear RCC III	SKT024 Conventional/clear RCCA II	CKR001 Conventional/clear RCC II Caval Thrombus	CKT001 Conventional/clear RCC II	PKT002 Conventional/clear cell RCCA I	SKT002 Conventional/clear RCCA II	SKT027 Conventional/clear RCCA III	SKT023 Conventional/clear RCCA II	SKT026 Conventional/clear RCCA III	SKT011 Conventional/clear RCCA II	SKT004 Conventional/clear RCCA II	SKT017 Conventional/clear RCCA II	SKT035B-conventional/clear RCC II	Perth 99-1262 Conventional/clear cell RCC II	SKT003 Conventional/clear RCCA III	SKT006 Conventional/clear RCCA II	SKT034-conventional/clear RCC II	Perth 99-1182 Conventional/clear cell RCCA II	CKT006 Conventional/clear RCC I	CKT003 Conventional/clear RCC III
283666	283666	-1.12	0.88	0.56	-0.38	-1.12	-1.04	-0.91	-1.15	-1.45	-0.71	-2.23	-0.52	-2.11	0.03	-0.16	-0.73	-1.08	-0.08	-1.15	0.71	0.67	0.588888889	-1.51	-0.67	2.21	-0.88	1.74	0.98	1.21	1.45	0.21	0.45	0.54	1.25	1.58	0.19	0.82	-0.02	1.4	0.733	0.37	0.43	0.73	1.31
257407	257407	0.69	0.35	-0.12	-0.74	1.92	0.558888889	1.18	0.796	1.74	2.22	0.92875	-0.03	-0.624	-0.267	-1.33	-0.702	-1.153	-4.24	-0.15	-0.55	0.69	2.31	-0.21	-0.334	-1.52	0.062	-0.81	0.05	-0.61	-0.04	0.395555556	0.033333333	-0.181111111	-0.43	-0.94	0.89	-0.22	-0.135	0.75	0.44	-2.57	-0.407777778	1.37	-0.29
27245	27245	0.45	-0.24	0.63	0.65	-1.02	-2.06	-1.66	-1.0325	-1.04	-1.11	-0.83	1.03	-1.07	0.12	-0.35	0.39	-0.29	-0.07	0.53	0.35	-0.14	0.45	0.575714286	0.52	0.56	0.06	-0.27	0.42	0.29	0.2	0.29	-0.42	0.38	0.25	-0.31	0.22	0.05	0.43	0.13	0.54	0.585714286	0.62	0.48	0.81
1152	1152	1.07	0.57	0.79	1.09	4.13	1.27	1.78	1.88	2.03	2.61	2.25	2.99	0.22	1.77	-0.05	0.66	-1.7	0.72	-0.96	-1.22	0.58	1.04	-1.92	-1.05	0.39	-0.75	-2.02	-0.62	-0.61	-0.71	0.18	-1.04	-0.76	-1.18	-1.75	-2.05	-1.28	-0.68	-0.65	-2.09	-3.59	-0.98	0.04	-0.42
54206	54206	1.89	-0.29	-1.071	-1.3	-5.15	-2.18	-1.68	-2.55	-1.67	-2.75	-1.025555556	-2.06	-2.9	-1.05	-1.36	-0.15	-5.64	-1.88	2.09	-2.08	1.07	0.76	3	4.36	1.256	3.07	2.75	1.89	0.33	1.45	2.51	3.23	1.88	1.16	2.22	0.11	2.14	3.59	-1.6	-4.32	-0.72	0.36	0.33	1.15
59339	59339	-0.59	-0.473333333	-0.28	-0.87	-2.97	-0.65	-1.16	-0.4	-0.61	-0.75	0.3	-0.06	-0.12	0.14	-0.64	-0.84	0.47	-0.21	-0.08	-2.32	-1.22	-1.56	0.5	1.13	-0.53	0.27	0.37	-0.62	0.86	0.88	1.08	1.29	0.91	1.27	0.9	0.45	1.21	0.56	1.11	0.61	1.43	0.19	0.69	-0.12
55076	55076	0.34	-3.06	-1.22	-1.02	-3.03	-0.91	-1.11	-2.68	-3.66	-1.5	-1.245555556	-1.45	-2.26	-1.38	-1.82	-0.69	-0.59	-0.79	1.25	-2.79	1.94	2.04	4.49	4.38	1.85	0.49	1.77	2.69	2.4	1.07	1.284	-0.41	0.667777778	-0.1	1.92	0.94	0.64	-0.18	1.34	2.1	0.8	-3.15	1	0.35
2256	2256	-1.39	-0.355714286	-0.53	-1.29	-2.85	-1.84	-1.333333333	-1.422857143	-0.94	-1.026666667	-1.81875	-0.504285714	-1.42	-1.2	-1.64	-1.1375	-1.082222222	-0.58	1.05	-0.19	1.99	0.8825	-0.007777778	0.117777778	2.73	-1.01	0.08	1.34875	2.58	2.08	2.59	-0.22	0.53	0.38	0.67	-0.12	-0.26	-0.67	0.78	1.55	-1.57	-0.2	0.84	0.01
6515	6515	-0.44	-2.45	-0.35	-1.22	-4.43	-1.97	-1.51	-2.32	-1.66	-0.59	-0.49	-3.11	-0.37	-1.16	-1.31	-0.05	-2.45	-0.89	1.11	1.75	2.1	0.77	0.84	1.61	1.27	0.73	3.73	3.29	0.27	0.93	1.23	0.99	0.55	1.89	0.21	0.61	1.44	1.16	-0.21	0.41	0.06	1	-0.34	-0.63
285973	285973	0.09	2.18	-1.14	-0.20625	-1.27	0.53	0.19	0.25	-1.259	-0.51	-2.18	-0.341111111	0.77	-0.17	-0.63	-1.144	-1.27	-1.64	-1.29	0.72	0.64875	3.73	-0.38	0.33	0.937777778	-0.77	0.56	0.38	0.508888889	0.8275	1.17	-0.104	-0.34	0.76	0.643333333	0.09	-0.4	-0.09	0.813333333	0.70375	0.05	-0.06	0.2	0.62
