CLID	Name	AU-565	SK-BR-3	MDA-MB-453	HCC1428	BT-474	HCC1419	ZR-75-1	MCF7	MCF7/Her2	H3396	ZR-75-30	MDA-MB-468	HCC38	MDA-MB-436	BT-20	HCC70	HCC1954	BT-549	MDA-MB-157	MDA-MB-231	HS578T	HCC1806	MDA-MB-435S
"1=Pcorr_Dasatinib_L :: Correlation || Cancer Res. 2007 | PMID:17332353, 2=Pcorr_Dasatinib_R :: Correlation || Cancer Res. 2007 PMID:17332353"	NaN	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353
8540	8540	-2.996	-2.234	-2.055	0.2092	-0.8591	6.99E-08	-1.214	-4.487	-4.709	-3.681	-2.88	0.7667	1.274	1.091	0.5472	0.5882	-0.3436	-0.3567	1.269	0.9914	0.8902	2.336	1.403
51340	51340	0.4429	1.133	1.026	-1.19	0.5481	1.17	0.3757	0.2008	0.912	1.247	1.666	-1.115	0.07994	-1.19	-1.205	-1.677	-1.677	-0.6363	-0.6162	4.68E-07	-0.4228	-1.192	-0.1918
57580	57580	1.755	3.272	-0.6208	1.577	3.647	1.954	2.775	2.81	3.389	3.303	3.015	-2.32	-3.435	-0.5041	-1.201	-2.393	-2.592	-3.447	-0.6282	-3.653	0.1417	-0.2058	6.16E-08
7163	7163	1.8645	2.3105	-0.1662	0.8573	0.7289	-0.0368	0.2357	-0.1388	0.3009	0.7238	-0.0451	-0.6986	0.3767	-2.2725	-0.8822	-0.588	0.9763	-0.9486	-2.1825	-0.7852	-1.6517	-0.2943	-0.0036
83451	83451	0.8174	0.6661	0.3306	0.5321	1.431	-0.5105	0.6806	0.346	1.234	1.005	1.213	-1.04	-1.004	0.04732	-1.575	-0.7872	-1.33E-08	-1.282	-0.8616	-1.035	-1.418	-1.3	-1.451
5698	5698	-1.223	-2.368	-3.596	-0.9584	-2.057	-1.783	-1.699	-1.822	-0.00244	-1.014	-1.836	0.9231	1.796	0.5592	1.958	2.394	1.491	-1.09E-07	1.793	1.164	0.7423	0.6283	1.446
131566	131566	-0.8364	0.3727	-1.868	-0.2528	-0.2906	-0.3503	0.07665	-0.634	-2.522	-0.2115	-0.4497	-1.423	-0.06033	0.9359	0.2763	0.6	0.6342	0.8221	8.02E-08	1.437	2.316	1.678	2.028
346887	346887	-3.096	-2.365	0.07978	-2.04	-2.554	0.6191	-2.664	-3.6	-2.958	-2.963	-3.43	0.3563	0.9091	3.99E-07	-0.1244	1.089	2.473	1.659	1.494	1.683	2.431	-0.7104	0.4005
10166	10166	-0.8581	0.3411	0.3119	-0.2618	-0.6856	-0.3848	0.6235	0.8419	0.6262	0.8172	-0.3324	0.16	0.5619	3.71E-07	-0.3906	-0.5531	-0.7314	0.07504	-0.9133	-0.308	-1.246	0.3143	0.4574
64208	64208	-0.1738	-0.3462	-2.363	-0.3084	-0.6275	-0.8274	-1.532	-0.07362	4.38E-07	-0.5729	-0.6801	1.5	1.504	2.523	1.692	1.461	0.4512	-0.1868	1.765	1.475	0.6061	1.83	2.051
253782	253782	0.2983	0.05651	0.8439	1.002	-0.0912	1.696	0.8505	9.33E-08	1.01	0.6548	0.8052	-0.715	-0.06202	-0.1817	-1.789	0.1896	0.1574	-1.133	-0.1192	-0.9547	-0.7244	-0.5787	-1.265
949	949	0.2749	0.0352	-0.0302	0.4886	0.412	-0.5047	-0.1479	0.277	-0.6629	0.2293	-0.2238	0.0651	0.1279	-0.109	-0.0235	-0.4839	0.0341	-0.0194	0.3432	-0.3281	-0.9533	-0.1546	-0.026
10477	10477	-0.6218	-0.2969	-1.8216	-0.616	-2.3075	-1.6701	-0.9486	-0.2593	-0.8492	-0.4664	-1.5565	0.5755	0.2459	0.4764	0.5201	0.1862	0.2395	-0.3232	0.7789	0.3922	0.7462	1.273	0.2272
219285	219285	-1.0474	-0.4119	-1.466	-1.4966	0.9436	-1.2491	-1.4585	-0.0815	-1.3941	-1.6313	0.1525	0.2363	-0.9342	0.4182	0.1806	1.7425	-0.1725	-0.3008	0.6392	1.1465	0.9307	0.9809	-0.765
51015	51015	0.1122	0.7512	1.813	1.739	1.227	1.022	1.73	0.49	2.169	1.631	-0.4265	4.52E-07	0.7717	-0.5266	-0.2252	-1.06	-0.1757	-1.08	-0.3808	-0.3398	-0.7791	-0.9536	-1.435
4137	4137	0.1253	0.105	0.1025	3.828	2.11	-0.5046	2.614	2.517	3.113	2.304	-2.69E-07	-0.7174	-1.759	1.13	-0.8797	-0.5974	-0.02652	-0.1864	0.1262	-0.06752	-0.4269	-0.7236	-0.2732
170302	170302	-0.2141	0.3923	2.3755	0.8908	1.915	1.3313	0.4705	-1.4815	0.0875	0.6119	1.0839	1.3124	-0.8396	0.7889	0.0617	-0.9635	-0.407	0.0414	-0.5808	-1.3155	-1.889	0.1014	-1.1845
4837	4837	-1.0813	-0.0314	0.2961	0.1118	-0.4582	-1.201	0.1712	-1.1206	-0.1149	-0.51	-1.2546	1.2885	0.0886	0.6468	2.2751	1.7471	3.146	4.7005	5.185	2.411	3.0137	-1.0776	0.8271
57535	57535	4.642	4.253	2.131	1.227	4.841	4.765	4.413	2.454	4.253	3.33	4.255	-0.0309	-0.1462	-0.4127	1.87E-07	-0.5648	-0.009664	-0.7867	-0.8722	-0.2574	-0.4408	-0.2944	-0.4346
54101	54101	-1.85E-07	0.2876	-1.124	-0.3919	0.2616	-0.4739	-1.203	-1.016	-1.348	-1.217	-0.4756	1.613	1.263	-1.41	1.197	1.971	1.385	-1.15	2.091	-0.1285	0.451	0.8464	0.4864
1128	1128	2.388	1.495	0.5651	2.473	3.094	-0.1256	3.368	-0.5409	-0.6964	1.858	2.834	0.7767	-0.3169	-0.7129	-0.6225	-1.78E-07	-0.2604	0.9233	-0.7246	-0.0924	-0.6234	-0.685	2.313
56882	56882	-0.074	0.2462	0.2418	0.3141	0.06044	0.2321	0.7315	-0.03822	1.09E-07	0.8711	0.271	-0.2729	-0.5253	-0.04937	0.00278	0.264	0.3084	-0.3842	-0.2964	-0.3514	-0.9579	-0.6208	-0.6214
1534	1534	0.8563	0.9711	0.9427	0.8232	-0.05601	0.8354	1.386	1.386	1.346	1.705	0.9976	-0.5139	-0.1065	-1.794	-0.02574	-2.63E-07	0.1524	-1.044	-0.5689	-0.919	-0.9901	-0.339	-0.7794
3628	3628	-1.199	-0.2484	0.07017	0.5308	-1.249	-0.06176	-0.6044	-0.859	-1.346	-0.4334	-0.5041	4.33E-07	1.964	0.09693	0.2784	1.639	-0.1462	-0.5387	2.278	2.258	1.055	2.256	1.315
10809	10809	1.716	2.192	3.603	2.611	3.586	4.025	3.436	0.3452	3.58	2.807	1.268	-0.8809	-3.39E-07	-2.542	-1.443	-0.8686	-2.705	-3.091	-0.7348	-4.496	-2.899	-0.5397	-2.987
3914	3914	4.45E-07	-0.6204	-3.016	-0.4556	-0.1123	-2.923	0.2668	-0.04996	-0.4841	-2.523	-0.1249	0.5969	2.794	0.8429	2.422	3.613	2.625	-0.5285	0.5663	3.825	0.5482	5.477	-2.118
10265	10265	-0.9773	-0.6897	1.927	1.944	0.3348	1.05	1.48	1.216	0.1115	0.9645	1.08	0.6343	-1.93E-07	-3.986	-2.808	0.04131	-0.05206	-1.474	-2.719	-2.318	-4.202	-5.033	-1.566
284119	284119	-3.178	-4.566	-4.608	-4.071	-5.301	-4.032	-5.075	-4.462	-3.297	-2.699	-3.775	0.2593	2.018	0.8104	0.633	1.14E-07	1.349	1.882	1.784	2.313	2.59	1.561	1.853
2048	2048	0.1541	0.0762	0.00628	-0.5139	-0.3502	-0.7771	-0.07735	0.3806	-0.05342	-0.9258	-0.5166	1.396	1.98E-07	-0.1439	-0.07757	1.287	0.4063	-0.8935	0.8442	1.313	1.203	0.7816	-1.021
800	800	0.1417	-0.3968	-0.9599	-1.4845	-1.3245	-2.271	-2.384	-1.5727	-2.0505	-1.468	-0.984	1.2405	2.5815	0.6944	1.0532	-1.2105	-0.1276	0.8005	2.0065	0.3378	3.5375	-0.686	0.9277
5618	5618	1.0735	0.5395	-0.251	2.1185	1.304	2.2155	0.8796	0.8473	-0.0027	0.5565	1.952	-0.4555	-0.205	-0.5581	-0.0225	-0.3681	-1.498	0.2495	-0.5521	-1.5675	-1.865	-1.7935	-1.7105
9687	9687	-0.2875	-3.237	-2.217	2.389	1.678	0.7183	0.609	0.9696	1.97	2.448	0.4704	-1.097	-1.587	-1.81E-07	0.7494	0.3043	-1.471	-1.531	-1.159	-2.463	-1.734	-1.528	0.8282
3485	3485	-0.1465	-1.753	2.823	3.849	1.558	2.455	2.308	1.297	2.934	-0.005989	1.203	-1.128	0.6167	1.437	1.481	-3.434	-3.369	-2.886	-4.43E-07	-2.87	-3.521	-2.06	-3.362
1365	1365	1.434	0.5214	0.6975	0.6597	0.1562	0.7469	0.6552	1.769	2.439	2.092	1.546	-0.8929	-3.58E-07	-3.927	-3.645	-2.601	-1.493	-6.238	-5.146	-5.528	-6.539	-5.014	-6.372
10559	10559	0.3526	-4.53E-07	1.394	0.002248	0.9531	1.258	1.141	0.9441	1.122	0.7917	1.411	0.1767	-0.7421	-0.3894	-0.356	-1.03	-0.8475	-0.2738	-0.9322	-1.195	-1.179	-0.1018	-0.6939
6506	6506	1.103	0.3882	-0.24	1.5488	1.1775	-0.045	0.8809	-0.7281	0.1415	0.4969	0.0474	0.2685	-0.7438	0.0791	-0.0692	-1.54	-0.1767	-0.423	-0.0771	-0.6843	-0.5466	-0.3856	-0.2401
56034	56034	-1.421	-1.81	-1.684	-3.153	-1.199	0.02066	-1.52	-2.711	-3.502	-4.236	-3.645	1.077	3.48E-07	0.05633	0.2625	0.7731	0.506	1.155	0.9174	2.51	0.9704	0.9232	-1.149
5236	5236	0.9457	-0.001968	-0.6378	-0.7289	-0.4926	-1.988	-0.04174	-1.897	-2.088	-1.869	-1.967	0.7862	-0.5206	1.138	0.5906	1.404	0.3031	0.4545	0.2311	1.068	0.9652	-2.31E-07	0.5576
148327	148327	1.98	0.8621	1.02	0.2077	1.6	1.488	2.474	-0.7784	1.456	1.625	1.722	-3.55E-07	-1.475	-1.395	-0.4668	0.2597	-0.711	-1.532	-1.376	-1.935	-2.236	-1.471	-1.616
2635	2635	-1.129	-1.99	-5.282	-2.601	-1.097	-0.6376	-3.301	-1.993	-5.184	-1.931	2.239	1.48	1.869	1.545	1.905	3.238	0.172	-1.214	1.64E-07	2.319	2.578	0.4866	0.1239
3678	3678	-2.723	-0.9939	-1.225	-2.656	-0.9514	0.303	-1.034	1.34E-07	-1.21	-1.037	-0.1104	-2.593	0.4005	1.116	0.7697	0.7949	-0.00289	1.437	0.9209	1.229	3.181	0.848	0.5364
84441	84441	-0.327	-0.4227	-0.9435	-0.6695	-1.1108	-1.337	-0.9367	-1.7235	-1.4038	-2.1925	-0.8647	1.519	0.9985	0.2712	1.55	0.6435	1.7555	0.8401	0.3792	1.1178	1.622	0.5827	1.5555
8644	8644	0.1127	-6.05	-5.06	-1.946	-4.994	0.3858	-2.917	-0.264	-0.4177	-5.44	-2.486	-2.024	4.758	1.73E-07	3.727	5.101	2.312	0.7032	1.759	2.487	2.454	5.494	-5.743
301	301	-0.5544	-1.4578	-1.23	-1.121	-1.2785	-1.5235	-1.8315	-2.805	-3.1865	-4.2575	-0.4212	1.8925	-0.1095	2.3077	-1.4304	3.0475	2.2047	2.3952	2.66	2.2325	2.0042	2.7265	2.52
79611	79611	2.282	1.935	-0.451	2.678	-0.2315	-1.46E-07	-0.02379	2.883	-0.5703	1.99	2.21	-0.1269	0.5624	-0.7248	-0.5891	-0.2718	-0.3823	0.2463	0.08216	-0.1696	-0.0182	0.5748	1.146
3382	3382	-2.086	-0.1488	0.2812	0.2669	1.139	0.03481	0.9748	-0.3775	0.4963	0.6564	0.4663	0.5296	1.18E-07	0.1775	0.08519	-3.574	-1.285	-1.952	-1.196	-2.205	-2.523	-1.72	-1.798
3428	3428	-4.31E-08	-1	-0.5964	-2.501	-0.6565	-1.662	-2.245	-0.7709	-1.525	-0.1841	-1.543	-0.3761	3.273	4.223	3.308	5.637	5.399	4.555	3.832	4.664	4.26	4.612	5.445
161145	161145	-1.036	-0.2459	1.828	-0.3459	1.331	0.6867	2.604	0.02534	0.2978	0.3626	-1.144	0.09356	4.89E-08	-0.1382	-0.9102	1.765	-0.9668	-0.06369	-1.024	-1.337	-0.2688	0.3107	1.43
9619	9619	0.605	1.311	2.555	2.236	1.566	2.455	2.232	1.161	2.144	1.985	2.649	-0.3333	-0.9054	-0.06625	-1.54E-07	-0.2825	-0.5432	-1.382	-1.143	-1.054	-2.112	-1.142	-0.7507
