CLID	Name	AU-565	SK-BR-3	MDA-MB-453	HCC1428	BT-474	HCC1419	ZR-75-1	MCF7	MCF7/Her2	H3396	ZR-75-30	MDA-MB-468	HCC38	MDA-MB-436	BT-20	HCC70	HCC1954	BT-549	MDA-MB-157	MDA-MB-231	HS578T	HCC1806	MDA-MB-435S
"1=Pcorr_Dasatinib_L :: Correlation || Cancer Res. 2007 | PMID:17332353, 2=Pcorr_Dasatinib_R :: Correlation || Cancer Res. 2007 PMID:17332353"	NaN	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353
51747	51747	-0.0721	-0.081	0.7173	0.4427	0.5974	0.4007	-0.02	0.2655	-0.0848	0.6327	0.6529	-0.1435	0.1163	-0.1879	-0.5567	-1.0415	-0.1344	-0.1598	-0.4159	-0.009	-0.7395	0.1665	-0.0261
92482	92482	-0.3556	-0.6046	0.5605	0.4485	0.6724	-0.1311	0.5718	-0.26	-0.2269	-0.1462	0.4079	0.1818	-0.9389	-0.2178	-0.0539	-0.7167	-0.4049	-0.208	0.1083	-0.0403	-0.2775	0.3181	0.302
9411	9411	-1.348	-0.318	-0.5257	0.5887	-1.002	0.2549	-1.977	-1.682	-2.381	-1.241	0.3052	1.291	1.517	-1.776	0.4084	0.5844	1.127	-1.456	-2.05E-07	1.659	1.094	0.3319	-2.467
1201	1201	1.182	1.03	0.7095	0.2024	-0.1263	1.085	1.014	-0.4801	0.9879	0.2481	1.037	-0.2757	-0.7756	-4.26E-07	-0.9695	0.2309	-0.2771	-0.102	-0.6853	-1.279	-0.672	-0.8905	0.1764
56994	56994	0.5681	0.1839	8.92E-08	0.2864	-0.3123	-0.303	0.1337	0.185	0.7501	0.1066	-0.4527	-0.84	0.1466	0.2322	-1.37	-0.4148	-1.234	-0.8749	0.1041	-0.08371	-1.334	-1.086	0.04327
2150	2150	-0.04033	-0.06256	-3.45	-0.737	-1.14	-2.105	0.2624	0.008802	-1.18	-3.65E-09	-0.8462	2.067	-0.4534	-2.052	1.103	1.619	2.933	1.436	2.2	3.463	1.68	1.197	-1.233
27250	27250	0.6896	-0.5154	1.607	3.942	1.944	2.358	3.399	1.092	0.929	1.202	1.519	-0.09206	-0.3641	-0.4251	-0.7478	1.307	-4.07E-07	-0.6046	-0.6499	-0.3855	-1.186	-0.73	-0.09687
55970	55970	0.1743	-0.6465	-0.4408	-1.43	-1.29	-0.1833	-1.266	-1.335	-1.585	-1.911	1.51E-07	-0.07272	-0.6004	1.196	0.4671	1.819	0.6218	1.254	0.1959	1.305	1.772	0.5	1.085
55323	55323	-1.7	-0.9586	-2.286	-0.6865	-0.507	-1.054	-0.8991	0.1748	-1.535	-0.3981	-1.49	-0.3742	1.844	0.6746	0.3914	2.325	2.26E-07	1.252	2.708	2.03	2.401	1.588	2.157
283987	283987	1.068	1.464	3.194	0.6451	0.721	1.018	1.991	-0.5257	1.074	1.011	1.134	0.1078	-1.191	-1.799	3.12E-07	-0.9661	-0.1291	-1.664	-1.526	-2.027	-2.031	-1.937	-1.431
771	771	0.0349	0.5794	1.2963	1.9995	0.5255	0.7332	1.3914	2.0225	1.0068	1.917	1.5005	-2.1555	-2.2594	1.4039	-2.1427	-1.5593	-1.5347	-0.3758	-1.87	-0.9882	-0.5542	-2.1565	-4.064
7048	7048	-1.932	-1.664	-0.39	-0.9746	-0.0536	-2.2515	-1.2807	-1.253	-2.4795	-0.8002	-0.9498	-0.4835	0.5692	-0.8077	0.3733	0.2832	0.6553	0.6009	-0.275	1.1136	0.8672	0.0929	0.3534
5880	5880	-0.4769	3.24E-07	-1.512	-1.051	-0.7644	-0.6168	0.1989	-0.2393	-1.665	-1.05	-1.608	2.281	0.3626	1.089	2.217	2.487	1.312	-0.5967	-0.3081	3.578	2.917	3.213	2.828
9120	9120	2.053	0.4331	2.926	1.531	-0.3849	3.482	0.7477	2.468	2.119	1.986	3.927	-0.07757	-1.563	-0.02345	6.42E-09	-0.3403	-0.854	-0.3647	0.4762	-1.958	-2.143	-2.06	-1.794
53827	53827	-0.07129	-3.68E-07	-0.0387	-2.205	-2.876	-3.211	-1.186	-2.551	-3.663	-2.436	-2.294	1.093	0.05282	-0.2204	1.493	1.825	2.32	1.689	2.055	0.8478	0.7265	2.362	1.202
123099	123099	-0.9792	1.011	2.398	4.465	3.744	1.615	4.966	3.006	2.814	2.937	4.747	2.98E-07	0.01494	-2.159	-1.078	-1.546	-0.8634	-1.576	-1.567	-1.692	-1.669	-1.506	-0.2462
858	858	-1.923	-3.718	-3.528	-0.3271	-2.174	-2.602	-2.169	-1.517	-1.848	-1.763	-3.25	2.568	1.987	0.4805	0.04169	1.173	0.599	2.994	2.636	2.503	2.24	2.486	4.69E-07
9655	9655	-0.6538	-0.319	-0.4682	4.03E-07	-1.519	-0.7283	-0.6053	-0.2051	-0.4279	-0.9734	-1.207	1.226	0.9305	0.4521	0.1931	0.5853	0.04325	0.03757	1.311	0.03318	1.708	0.6728	-0.07205
57669	57669	0.707	0.4423	0.0402	0.9138	-0.8882	0.56	0.6503	1.2484	1.5465	1.697	0.4391	-0.197	-0.1216	-0.7198	-0.264	-0.3115	-0.6734	-2.702	-2.057	-1.8875	-2.349	-0.7283	-1.923
2004	2004	-1.855	-0.9097	-0.9471	-0.06192	-2.266	-1.015	-2.028	0.4633	-0.7356	-0.5281	-0.6743	-1.168	7.18E-08	0.2154	0.5194	1.332	0.9626	1.488	0.4605	3.169	1.679	1.329	1.831
4651	4651	-0.8755	-0.1412	-1.5095	-1.0945	1.5843	0.1398	-1.635	-2.8195	-1.6205	-1.1121	0.3193	0.2262	-0.1105	-0.3543	-0.7912	0.2737	1.1179	0.4844	0.8758	0.6004	0.9147	1.5025	-0.3531
22936	22936	-0.5319	-0.909	-1.3135	-1.6704	-1.9775	0.3222	-1.1056	-1.4697	-1.6669	-1.1318	0.7371	0.5495	2.0625	0.6844	1.413	-0.1868	1.2355	1.828	0.76	0.8276	1.328	0.0922	-0.803
801	801	-0.0706	1.0367	-0.3493	0.4969	1.8095	0.9131	0.865	0.9171	0.9799	1.0982	0.3838	-0.4193	-0.266	-0.165	-0.022	-0.7136	-0.1924	0.1441	-0.1671	-0.0752	-1.2031	-1.1161	-0.4195
2181	2181	-0.1442	0.0746	0.2853	-0.3981	0.9365	1.3346	-0.1053	-0.5055	0.8521	0.0661	0.2617	0.4578	1.1309	0.2432	-0.5734	-0.8159	-0.4113	-0.4252	-0.6325	-1.1935	0.0107	-0.3129	-0.0721
58513	58513	-0.5895	0.0805	0.1112	0.2209	0.6535	0.1691	-0.3772	-0.3893	0.962	0.3959	0.1461	0.7237	0.2575	0.728	-0.4241	-1.3974	-0.6246	-0.3498	-0.0513	0.2818	-0.0175	-0.521	-0.7011
11118	11118	0.7385	-0.9685	-2.426	-1.972	4.73E-07	-3.526	-1.118	-3.995	-1.105	-3.503	-0.6409	1.475	0.4853	-1.84	0.1987	1.895	0.184	-0.4495	1.765	0.1977	1.139	1.454	1.536
55700	55700	-0.7239	-0.6509	-4.60E-07	-0.8856	-0.6092	-0.5058	-0.1417	-1.022	-1.037	-0.167	-0.1425	0.7657	-0.5291	0.7993	0.5093	1.391	0.405	0.597	0.9142	1.013	1.283	1.148	0.3197
55048	55048	0.6615	0.8775	0.8162	1.503	0.6423	-0.8774	-0.3306	0.09456	1.019	0.4427	0.8761	0.4137	-0.5141	0.06866	4.55E-07	-1.043	-0.36	-1.152	-1.502	-1.101	-1.059	-1.545	-0.9176
7045	7045	-0.4375	0.1669	-4.361	-0.8044	-0.7464	-1.787	-1.706	-0.7216	-2.608	-2.737	-0.52	-3.21E-07	2.423	0.8189	-0.08025	3.641	2.039	3.545	4.052	1.595	5.157	3.459	4.044
3437	3437	-1.131	-1.357	-2.605	-1.033	-1.187	-0.7194	-0.9463	3.34E-07	-0.9536	-0.6529	-0.5461	0.09306	0.2557	1.199	0.04609	1.345	1.383	0.8297	1.066	1.529	0.172	0.3748	-0.07385
388	388	0.913	2.201	2.173	1.1983	1.393	1.96	1.499	0.2294	0.1653	0.7729	0.2798	-0.3405	-2.0395	-1.1	-0.1896	-2.4735	-0.3211	-2.5695	-0.3419	-2.1925	-1.722	-2.2645	0
1956	1956	-0.1579	0.5974	-2.0246	-0.7635	-0.0786	-2.527	-2.1725	-1.5005	-1.4365	-1.1796	-2.1675	3.981	0.279	0.1716	1.322	0.1968	0.534	0.1264	-0.2375	0.7883	0.1748	0.9133	-1.3126
7031	7031	-0.1273	2.251	0.9139	7.061	6.967	6.888	5.531	6.379	6.838	7.267	2.104	-2.246	-0.06646	-1.419	-1.208	-1.188	-1.004	-3.70E-07	0.2895	-0.4558	-1.311	-0.7836	-0.6437
26064	26064	-2.039	-3.053	-2.912	-0.3055	-1.605	0.4981	-2.516	-1.413	-1.976	-2.019	-2.148	0.1399	0.7225	1.409	0.5107	0.5642	1.097	0.8349	0.3028	0.3807	-1.15E-07	-0.009212	0.08589
5332	5332	1.2303	1.436	1.884	-1.0706	1.0055	0.5068	1.1177	-1.2595	0.5556	1.0145	1.1309	0.576	0.7616	-0.9072	-1.2525	-1.6307	-0.9552	-0.3987	-0.1972	-1.1307	-0.5006	-2.1323	-0.0501
9180	9180	-0.886	-1.61	-1.841	-0.3887	-1.122	-0.5899	-0.6024	-0.05533	-2.76E-07	-0.2238	-0.95	0.1318	-0.3748	1.242	1.268	1.766	1.68	2.591	0.9667	0.8497	1.714	0.6777	0.8224
10591	10591	0.9271	-0.1705	-0.2235	0.3449	-0.0721	-0.227	0.6627	0.6283	0.769	0.8898	0.1284	0.2797	-0.8193	-0.8672	0.1954	-0.4887	0.5255	0.8307	0.1914	-0.5074	-0.3325	-0.5192	-0.137
23468	23468	-0.7087	-0.4204	0.4567	-0.1549	-0.241	0.4543	0.0659	1.211	-0.1209	0.3413	-1.1674	-0.4976	0.4067	0.4332	-0.5804	-1.0745	-0.3237	0.2015	-0.2114	0.1498	0.2824	-0.005	0.4437
4478	4478	-1.5316	-2.7052	-3.8512	-0.2949	-3.5865	-3.3848	-1.055	-1.8346	-3.1779	-3.2215	-3.7931	0.8206	0.9631	0.4642	-0.17	1.2438	0.317	0.9371	0.444	0.9117	1.0451	0.5622	1.0134
10140	10140	0.9572	1.122	0.08591	2.044	0.9681	0.8486	1.185	0.8269	1.44	0.7788	1.765	-1.084	-0.3016	-1.09	-0.3878	-0.8113	3.49E-07	-1.505	-0.8595	-1.377	-2.767	-0.2455	-1.297
10602	10602	-0.5765	-0.6521	-2.286	-2.151	-1.677	-0.6827	-2.294	-1.876	-2.535	-2.862	0.1034	0.5505	0.3608	-3.50E-07	1.081	-0.1517	0.7421	0.8127	0.5029	2.05	3.239	1.425	1.81
21	21	-1.729	0.4669	2.392	0.1115	-2.66E-07	0.9281	2.01	1.615	1.799	1.951	1.823	-0.9183	-0.9393	0.117	-1.38	-2.717	-0.8157	0.113	-2.321	-3.001	-3.178	-1.965	-0.7528
10730	10730	-0.4458	-0.08429	-0.5173	0.1623	0.09398	-0.009788	-0.05927	0.08406	0.3826	-0.05781	-1.26E-08	-0.4797	0.2105	0.3238	0.4097	0.3815	0.1218	0.2041	-1.333	-0.1572	-0.6174	-1.401	0.03588
55214	55214	-2.849	-1.333	-0.4199	-1.903	0.01941	-2.449	-1.452	-2.619	-2.644	-2.489	-1.643	-3.88E-07	3.312	-1.231	2.598	2.599	2.209	3.092	1.084	0.7523	2.741	0.298	0.983
831	831	-0.4955	-0.5313	-1.662	-0.649	-1.295	0.6328	-0.6646	-0.7839	-1.554	-1.455	0.1697	0.7323	-0.5453	0.2167	0.7388	0.2422	0.7532	-0.1323	0.1311	0.6315	0.9866	0.6129	-1.69E-07
115207	115207	-2.096	-0.8785	-3.406	0.05303	-1.55E-07	-1.712	2.364	-0.5997	-2.415	-2.551	-1.206	-0.8373	3.828	0.6454	0.2186	3.184	-0.2514	0.007292	3.038	2.862	2.725	0.8503	-1.397
57475	57475	3.445	-0.04164	1.5	1.623	0.6024	0.3101	0.3408	1.719	1.974	1.628	0.04321	-3.64E-07	-0.1038	-0.662	-1.078	-0.7168	-0.161	-1.264	-0.6336	-0.5587	-1.552	-0.2503	1.676
4067	4067	-0.4933	-0.4204	-1.0942	0.1643	0.6031	-0.6221	-0.7635	0.3134	-0.1445	-1.2164	-1.0671	0.5223	0.3485	0.7349	0.5848	2.374	1.425	0.6733	0.8943	0.175	-0.9526	1.41	1.0789
2013	2013	0.7088	0.7229	-0.09148	0.5878	0.09758	0.8027	1.754	1.211	1.246	0.717	0.1964	-0.1242	-2.52E-08	-1.097	-0.02086	0.9329	-0.7506	-1.749	-1.437	-1.774	-1.694	-1.436	-0.7425
23329	23329	1.988	1.769	1.351	-0.2374	1.789	2.162	2.005	1.385	1.776	1.775	1.799	-0.8048	-0.2821	-1.102	-0.6635	-1.272	-1.93E-07	0.1421	-1.476	-0.3961	-1.047	-0.6107	-1.063
