""	"MS"	"mL"
"10246"	-0.001	0
"10247"	-0.004	-0.008
"10248"	0.006	0.001
"10249"	0	0
"1025"	0	0.002
"10250"	-0.001	-0.002
"10251"	0	-0.003
"10252"	0.019	0.003
"10253"	0.011	-0.008
"10254"	-0.006	0.009
"10255"	0.001	0
"10256"	-0.004	0.003
"10257"	0.013	-0.019
"1026"	0.017	0.016
"10260"	0.007	0.005
"10261"	0.003	0.003
"10262"	0.004	0.003
"10263"	0.005	0.01
"10265"	0.007	0.009
"10266"	0.001	0.001
"10267"	0.016	0.01
"10268"	0.009	0.002
"10269"	0	-0.001
"1027"	0	0.005
"10270"	0.005	0
"10272"	0.001	0.008
"10273"	-0.001	0
"10274"	0.008	-0.001
"10276"	-0.013	-0.005
"10277"	-0.007	-0.009
"10278"	0.001	0.002
"10279"	-0.012	0.004
"1028"	0.003	0.008
"10280"	-0.004	-0.006
"10281"	0	0
"10282"	-0.01	-0.003
"10283"	-0.003	-0.005
"10284"	0.003	0.002
"10285"	0.005	0.003
"10286"	0.002	0.002
"10287"	0.003	0.001
"10288"	-0.001	0
"10289"	0.006	0.005
"1029"	0.002	0.005
"10290"	-0.009	-0.01
"10291"	0.003	-0.002
"10293"	0.001	0.001
"10294"	0.004	-0.002
"10295"	-0.004	0
"10296"	0.002	-0.003
"10297"	0.001	0.002
"10298"	0.001	0.003
"10299"	0.004	-0.006
"103"	-0.002	0.001
"1030"	0	0.007
"10300"	-0.008	-0.009
"10301"	0.001	-0.007
"10302"	0.001	0.002
"10307"	-0.008	0
"10308"	0.002	0
"10309"	-0.001	0
"1031"	0.002	-0.002
"10311"	0.003	0.006
"10312"	-0.004	0.003
"10313"	-0.001	-0.001
"10314"	-0.009	-0.006
"10316"	0	-0.001
"10317"	-0.005	-0.006
"10318"	-0.011	0.006
"10319"	0.002	-0.005
"1032"	0.005	0.008
"10320"	-0.003	-0.004
"10321"	-0.002	-0.001
"10322"	-0.002	-0.006
"10324"	-0.002	0.003
"10325"	0	0
"10326"	0.001	-0.001
"10327"	-0.004	0.002
"10328"	0.004	-0.002
"10329"	-0.003	-0.006
"1033"	-0.012	0.002
"10330"	-0.003	-0.005
"10331"	0	0.002
"10332"	0.002	0.001
"10333"	0	0.002
"10335"	0.003	0
"10336"	-0.001	-0.002
"10342"	-0.003	-0.001
"10343"	0	-0.001
"10344"	0	-0.001
"10345"	-0.001	-0.002
"10346"	-0.011	-0.01
"10347"	-0.001	0.002
"10349"	-0.002	-0.002
"10350"	-0.001	-0.001
"10351"	0.002	0.001
"10352"	0	-0.005
"10357"	0.003	-0.001
"1036"	0.017	0.003
"10360"	-0.004	-0.012
"10361"	-0.002	-0.008
"10362"	0.005	0.006
"10363"	-0.001	0.005
"10365"	0.009	0.006
"10367"	-0.002	-0.002
"10368"	-0.001	-0.002
"10369"	-0.001	0.002
"10370"	-0.01	-0.014
"10371"	0.004	0.002
"10376"	0.002	0.001
"10379"	0.001	0.006
"1038"	-0.001	-0.002
"10380"	-0.009	-0.003
"10381"	-0.002	0.016
"10382"	0	0.002
"10383"	0.004	0.006
"10384"	-0.006	-0.009
"10385"	-0.002	0
"10388"	-0.005	0.002
"10389"	0.011	-0.002
"1039"	0.017	0.019
"10390"	-0.01	-0.008
"10391"	0.023	0.002
"103910"	0.002	0.001
"10392"	0	-0.005
"10393"	0.003	0.002
"10394"	-0.001	0
"10395"	0.006	0.002
"10396"	-0.002	0
"10397"	-0.005	-0.013
"10398"	0.026	0.004
"10399"	-0.002	-0.001
"104"	0.009	-0.004
"1040"	-0.007	-0.002
"10400"	-0.001	-0.001
"10401"	0.007	0.003
"10402"	0.002	-0.011
"10403"	-0.004	-0.006
"10404"	0.019	0.016
"10406"	-0.021	-0.017
"10407"	0.001	0
"10409"	0.018	0.023
"1041"	0.004	0.005
"10410"	0.004	0.006
"10411"	0.005	0.002
