""	"MS"	"mL"
"2304"	0	-0.003
"23040"	0.002	0.002
"23041"	-0.001	0.003
"23042"	-0.002	0.001
"23043"	0	0.025
"23045"	-0.002	0.001
"23046"	0	-0.001
"23047"	0	0.001
"23048"	-0.016	-0.005
"23049"	0.002	0.003
"2305"	-0.009	-0.01
"23051"	0.001	0
"23052"	-0.003	-0.006
"23053"	0.001	0.004
"23054"	-0.003	-0.001
"23057"	0.001	0.002
"23059"	-0.004	-0.002
"2306"	-0.002	0.003
"23060"	0.009	0.005
"23061"	-0.006	-0.005
"23062"	0.001	-0.009
"23063"	-0.004	-0.005
"23064"	0.006	0.003
"23065"	0.006	-0.003
"23066"	0.001	-0.004
"23067"	0.001	0.001
"2307"	0.003	0.004
"23070"	-0.003	-0.002
"23071"	0.005	0
"23072"	0	0
"23074"	0.003	0.005
"23075"	-0.003	0.01
"23076"	0.006	-0.009
"23077"	0.008	-0.004
"23078"	-0.006	0.005
"2308"	0.006	-0.007
"23080"	-0.008	0.005
"23081"	0.001	0
"23082"	0.007	0.002
"23085"	0.005	-0.001
"23086"	-0.007	-0.002
"23087"	0.004	0.004
"23089"	0.01	-0.009
"2309"	0.005	0.003
"23090"	0.011	0.004
"23091"	0.002	0.003
"23092"	-0.001	-0.015
"23093"	-0.003	0.003
"23094"	-0.002	-0.004
"23095"	-0.001	-0.008
"23096"	0.004	0.009
"23097"	-0.012	-0.004
"23098"	0.016	-0.008
"23099"	0.012	0.006
"231"	0.014	-0.024
"23101"	-0.002	-0.001
"23102"	-0.004	0.009
"23105"	0.001	0.001
"23107"	-0.008	-0.009
"23108"	-0.016	-0.007
"23109"	0.006	0
"23111"	0.007	-0.001
"23112"	-0.001	-0.002
"23113"	-0.001	0.003
"23114"	0.01	-0.003
"23116"	0.002	-0.003
"23117"	0	0
"23118"	0.003	0.001
"23119"	0.009	0.001
"2312"	-0.001	0
"23120"	-0.003	-0.001
"23122"	-0.003	0.003
"23125"	-0.002	-0.002
"23126"	0.002	0.001
"23127"	-0.003	-0.002
"23129"	0.001	0.001
"2313"	0.004	0.001
"23130"	-0.01	-0.001
"23131"	0.007	0.002
"23133"	0	-0.002
"23135"	0.018	0.012
"23136"	0.009	0.008
"23137"	0.003	0.002
"23138"	0.006	0.007
"23139"	-0.001	-0.002
"2314"	0	0.003
"23140"	-0.004	-0.001
"23141"	0.001	0.001
"23142"	0.003	-0.001
"23143"	-0.001	-0.005
"23144"	-0.003	0.002
"23148"	0.007	0.006
"23149"	0.004	-0.009
"2315"	-0.002	0
"23150"	0.001	0
"23151"	0.003	0.022
"23152"	0.002	0.003
"23154"	0.004	-0.002
"23155"	-0.006	-0.001
"23157"	0	0
"23158"	0.011	0.018
"2316"	0.004	-0.012
"23160"	0.006	-0.002
"23161"	-0.004	0.002
"23162"	0	0.003
"23163"	-0.005	-0.002
"23164"	0.009	-0.002
"23165"	-0.002	-0.004
"23166"	0.007	-0.002
"23167"	-0.008	0.005
"23168"	0.001	-0.002
"23169"	0	0.001
"2317"	-0.006	0.001
"23170"	0	-0.005
"23171"	0.003	0.009
"23172"	-0.005	-0.002
"23173"	0.004	-0.003
"23174"	0.003	-0.003
"23175"	-0.005	-0.007
"23176"	0.001	0.003
"23177"	0.001	0.004
"23178"	-0.001	0
"23179"	-0.004	-0.028
"2318"	0.03	0.005
"23180"	0.016	0.003
"23181"	0	0.001
"23184"	-0.002	-0.004
"23185"	0.001	-0.002
"23186"	0.005	0.003
"23187"	0.019	0.001
"23189"	0.005	-0.003
"2319"	-0.005	-0.006
"23190"	-0.008	0.001
"23191"	-0.006	-0.002
"23192"	0.001	-0.001
"23193"	-0.002	-0.001
"23194"	0.005	0.003
"23195"	0.002	-0.009
"23196"	0.002	0
"23197"	-0.006	-0.001
"23198"	-0.002	-0.003
"23199"	0.001	0.011
"23200"	0	-0.005
"23201"	-0.002	-0.002
"23203"	-0.002	-0.008
"23204"	-0.003	0.003
"23205"	0.003	0
"23207"	0.003	0
"23208"	0.009	0.005
"23209"	0.001	-0.001
"2321"	0	-0.001
"23210"	0.004	-0.002
"23211"	-0.004	-0.005
"23212"	0.011	-0.003
"23213"	0.043	0.008
"23214"	0.001	-0.001
"23215"	-0.005	-0.003
"23216"	-0.005	-0.01
"23217"	0.001	-0.001
"23218"	-0.003	0.013
"23219"	-0.002	-0.003
"2322"	-0.004	0.007
"23220"	0.001	-0.002
"23221"	0.006	0.007
"23223"	0.01	-0.002
"23224"	-0.001	0.001
"23225"	-0.011	0.011
"23228"	-0.007	-0.021
"23229"	-0.001	0
"2323"	-0.008	-0.005
"23230"	0.003	0
"23231"	-0.007	-0.023
"23232"	0.003	0
"23233"	0	0.002
"23234"	0.002	0.001
"23235"	0.008	-0.002
"23236"	0.005	-0.007
"23237"	0.025	0.01
"23239"	0.002	-0.009
"2324"	-0.001	0.004
"23240"	0	-0.006
"23241"	-0.008	0
"23242"	-0.018	-0.005
"23243"	-0.001	-0.006
"23244"	-0.004	-0.006
"23245"	0.01	0.011
"23246"	0.004	-0.006
"23247"	0	0.004
"23248"	0.005	-0.003
"23250"	0.001	-0.001
"23251"	0.004	-0.006
"23252"	0.004	0.001
"23253"	-0.001	0.006
"23254"	0.003	-0.001
"23255"	0.001	0.007
"23256"	-0.002	-0.001
"23258"	0.003	0.004
"23259"	0	-0.005
"2326"	0.006	0.002
"23261"	-0.001	0.011
"23262"	-0.002	-0.003
"23263"	0.001	0.001
"23264"	-0.003	-0.003
"23265"	0.002	-0.001
"23266"	0.012	-0.022
"23268"	-0.002	0.004
"23269"	0.002	0
"2327"	-0.003	-0.012
"23270"	0.007	0.003
"23271"	0.012	0.001
"23272"	-0.005	-0.012
"23273"	0.003	-0.005
"23274"	0.005	0
"23275"	0.004	0.005
"23276"	0.009	0.005
"23277"	0.003	-0.006
"23279"	0.005	0
"2328"	-0.001	0
"23281"	0	0.002
"23283"	0.002	-0.002
"23284"	-0.002	0.01
"23285"	-0.006	-0.002
"23286"	-0.002	0.004
"23287"	-0.006	-0.004
"23288"	-0.004	0.003
"2329"	-0.008	0.001
"23291"	-0.001	0
"23293"	0.002	0.002
"23294"	0.003	0.005
"23295"	-0.003	-0.001
"23299"	0.006	-0.001
"2330"	-0.003	0.023
"23300"	0.004	0.003
"23301"	-0.004	-0.022
"23302"	0	0.001
"23303"	-0.011	0.008
"23304"	-0.004	0
"23305"	-0.006	-0.007
"23306"	0.001	0.002
"23307"	-0.006	-0.005
"23308"	-0.009	-0.005
"23309"	0.006	0.002
"2331"	0.029	0.023
"23310"	-0.008	-0.008
"23312"	-0.006	0
"23313"	0.003	0.002
"23314"	0.001	0.006
"23315"	-0.01	-0.001
"23316"	0.002	0.022
"23317"	-0.006	-0.002
"23318"	0.002	-0.004
"2332"	-0.001	-0.002
"23321"	-0.009	-0.012
"23322"	0	0
"23324"	-0.001	0.015
"23325"	-0.001	-0.001
"23326"	-0.002	0
"23327"	0.009	-0.005
"23328"	0.002	-0.028
"23332"	0	-0.005
"23333"	0.002	0.012
"23334"	-0.001	0
"23335"	-0.003	0.001
"23336"	0.009	-0.015
"23338"	-0.006	-0.004
"23339"	-0.006	-0.002
"2334"	0.002	-0.001
"23341"	-0.005	0.004
"23344"	-0.003	-0.001
"23345"	0.001	0.001
"23347"	-0.001	-0.002
"23348"	-0.002	-0.001
"2335"	0.002	0.001
"23350"	-0.007	-0.005
"23351"	-0.007	-0.001
"23352"	0.005	0.001
"23353"	-0.001	-0.002
"23355"	-0.004	0
"23357"	-0.006	-0.004
"23358"	-0.003	-0.005
"23360"	-0.002	-0.003
"23361"	0.001	-0.004
"23362"	-0.002	0.001
"23363"	0.004	0.001
"23365"	0.002	0.005
"23366"	-0.006	0.011
"23367"	0	-0.005
"23368"	-0.008	0.007
"23369"	0	0.002
"23370"	0.001	0.005
"23371"	0.002	-0.001
"23373"	0	-0.001
"23376"	-0.007	-0.005
"23378"	0.004	0
"23379"	0.001	-0.002
"23380"	-0.001	-0.001
"23381"	0.003	0
"23382"	0.001	0.015
"23383"	-0.005	-0.004
"23384"	-0.001	-0.003
"23385"	-0.013	-0.002
"23386"	-0.005	-0.002
"23387"	0	-0.006
"23389"	0.002	-0.001
"2339"	-0.001	0
"23390"	0.001	-0.002
"23392"	0.001	-0.009
"23394"	0.004	0.002
"23395"	-0.009	-0.012
"23396"	0.002	0.004
"23397"	-0.002	-0.003
"23398"	-0.002	-0.005
"23399"	0.005	0
"23400"	-0.008	-0.001
"23401"	-0.01	-0.005
"23403"	-0.005	0.001
"23404"	0.006	-0.008
"23405"	-0.002	0.003
"23406"	0.005	-0.004
"23408"	-0.006	-0.004
"23409"	0.004	0.007
"23410"	0.001	0.001
"23411"	0.005	0.012
"23412"	-0.011	0
"23413"	0.012	-0.001
"23414"	0.006	-0.001
"23415"	0	0
"23416"	0.017	0.001
"23417"	-0.004	0.001
"23418"	0	-0.001
"2342"	-0.001	-0.003
"23420"	-0.003	-0.005
"23421"	-0.006	0.003
"23423"	-0.007	-0.001
"23424"	-0.007	0.008
"23426"	-0.007	-0.013
"23428"	0.003	0.016
"23429"	0.017	0.017
"23430"	0.003	0.003
"23431"	-0.008	-0.006
"23432"	0.009	-0.001
"23433"	-0.001	0.002
"23434"	0	-0.001
"23435"	0.006	-0.005
"23436"	0.002	0.001
"23438"	-0.002	0
"23439"	0	0.002
"23440"	0.001	0
"23443"	-0.011	0.005
"23446"	0.001	0.022
"23450"	-0.005	-0.008
"23451"	0.002	0
"23452"	0.034	0.005
"23456"	-0.011	-0.009
"23457"	-0.003	-0.005
"2346"	-0.009	-0.013
"23460"	-0.001	-0.002
"23461"	0.005	-0.003
"23462"	0.015	0.003
"23463"	-0.003	0
"23464"	-0.002	-0.006
"23466"	0.002	0.004
"23467"	0.001	0.003
"23468"	0.003	0.008
"23469"	-0.003	0.001
"23471"	-0.007	-0.003
"23473"	-0.001	-0.001
"23474"	0	-0.007
"23475"	-0.001	0.021
"23476"	0.003	-0.002
"23478"	0	-0.001
"23479"	0.003	0.006
"2348"	-0.013	-0.018
"23480"	0.004	0.001
"23481"	0.002	-0.008
"23483"	-0.008	-0.004
"23484"	-0.002	-0.004
"23491"	-0.001	-0.002
"23492"	0.003	0.009
"23493"	-0.005	-0.025
"23495"	0.003	-0.001
"23498"	-0.001	-0.001
"23499"	0.003	0.005
"2350"	0.001	0.002
"23500"	-0.01	-0.013
"23503"	-0.007	0.003
"23504"	0.001	0
"23505"	0.007	0
"23506"	0.001	-0.001
"23507"	-0.004	-0.003
"23509"	0.001	-0.002
"23510"	0.001	0
"23511"	0.002	-0.005
"23512"	-0.001	-0.003
"23513"	0	0.001
"23515"	-0.002	0.007
"23516"	0.001	-0.019
"23517"	0.001	-0.005
"23518"	0.002	-0.002
"23519"	0.001	0.001
"2352"	0.005	0.003
"23520"	-0.001	-0.001
"23521"	-0.007	-0.009
"23522"	-0.001	0.008
"23523"	-0.001	-0.001
"23524"	0.001	0
"23526"	0.003	0.001
"23527"	0.002	0
"23528"	0.006	0.004
"23529"	0.012	0.009
"2353"	-0.008	0.006
"23530"	-0.001	-0.003
"23531"	0.003	0.004
"23532"	-0.001	-0.004
"23533"	0.001	0
"23534"	-0.001	-0.003
"23536"	-0.008	-0.002
"23538"	0	0
"23539"	-0.001	-0.005
"2354"	0.001	0.013
"23541"	0.007	0.011
"23542"	-0.004	-0.001
"23543"	0.008	0.004
"23544"	0	-0.001
"23545"	0.005	-0.005
"23546"	0.001	0.002
"23547"	0.001	0.001
"23548"	-0.001	0.006
"23549"	0.002	-0.003
"2355"	0.004	0.009
"23550"	-0.01	0.013
"23551"	-0.004	-0.01
"23552"	0.004	0.005
"23553"	0.003	0.001
"23554"	-0.003	-0.004
"23555"	-0.006	0.032
"23556"	-0.004	-0.001
"23557"	-0.002	0.003
"23558"	-0.006	0.005
"23559"	-0.006	0.003
"2356"	0	0
"23560"	0.003	0
"23562"	0.002	0.002
"23563"	0.002	0.001
"23564"	-0.005	0.001
"23566"	0	0.008
"23567"	0.01	-0.003
"23568"	-0.002	0.006
"23569"	-0.002	0.003
"2357"	0.001	0.003
"23576"	0.007	0.005
"2358"	0	-0.002
"23580"	-0.003	0.004
"23581"	0.001	0.001
"23582"	-0.005	0.005
"23583"	-0.01	0.002
"23584"	-0.008	0.028
"23585"	-0.007	-0.001
"23586"	-0.004	0.008
"23587"	0.005	-0.001
"23588"	-0.009	-0.005
"23589"	-0.021	-0.006
"2359"	0	0.001
"23590"	0.003	-0.005
"23592"	0.005	-0.002
"23593"	-0.011	-0.003
"23594"	0	-0.004
"23595"	-0.01	-0.008
"23596"	-0.01	0.012
"23597"	0.007	0.008
"23598"	0	-0.001
"23600"	-0.007	0.003
"23601"	-0.001	-0.001
"23603"	0.007	0.002
"23604"	-0.007	-0.021
"23607"	0.001	0.006
"23608"	-0.01	0
"23609"	0.005	-0.004
"23612"	0.015	0.011
"23613"	-0.008	0.001
"23614"	-0.002	0
"23615"	0.001	0
"23616"	0.001	-0.007
"23617"	0.001	0.001
"23619"	0.003	0
"23620"	0	0.001
"23621"	0	-0.002
"23623"	-0.006	0.004
"23624"	-0.018	0.002
"23625"	0.007	0.005
"23626"	0	-0.001
"23627"	0.002	0
"23629"	-0.002	0.003
"23630"	0.003	-0.002
"23632"	-0.002	-0.002
"23633"	0.001	0
"23635"	0.013	0.006
"23636"	-0.001	-0.003
"23637"	-0.002	-0.003
"23639"	-0.004	0.009
"23640"	0.004	0
"23641"	-0.02	-0.011
"23643"	-0.002	-0.02
"23644"	0.003	0.002
"23645"	0.006	0.008
"23646"	0	0.005
"23647"	0.001	0.002
"23648"	0.011	0.005
"23649"	-0.009	-0.002
"23650"	0.009	0.01
"23654"	-0.004	0.005
"23657"	0.009	0.004
"23658"	-0.002	-0.001
"23659"	0.001	0.001
"23660"	0.002	0
"23670"	0.009	0.014
"23671"	0.003	0
"23673"	-0.01	-0.013
"23676"	-0.002	-0.001
"23677"	-0.008	0.007
"23678"	0.002	0.006
"23682"	0.002	-0.02
"23683"	-0.002	-0.006
"23704"	0.003	0.007
"23705"	0.008	-0.002
"23708"	0.002	-0.002
"23710"	0.004	0.008
"23729"	-0.005	0.003
"23731"	0.001	0
"23732"	-0.001	0
"23741"	0.005	0
"23742"	0	0.001
"23743"	0	-0.001
"23746"	-0.001	-0.001
"23753"	0.005	0.006
"23759"	-0.003	0
"23760"	0.002	-0.001
"23761"	0.004	0.008
"23762"	0.003	0.007
"23764"	0.004	0.004
"23765"	0.004	-0.002
"23767"	-0.008	0.001
"23768"	0.03	0.002
"23769"	-0.002	0
"23770"	-0.002	-0.004
"23774"	0.002	-0.002
"23779"	-0.001	0.004
"23780"	-0.003	0.002
"23784"	-0.003	-0.001
"23786"	-0.008	0.001
"23787"	-0.004	0.001
"23788"	-0.007	-0.004
"238"	0	-0.001
"239"	0.001	-0.001
"2395"	0.005	-0.003
"24"	0.002	0.021
"240"	-0.01	0.007
"241"	0.004	-0.002
"24137"	-0.007	-0.006
"24138"	-0.003	-0.001
"24140"	0.003	0
"24141"	0.008	0.004
"24142"	-0.005	-0.004
"24144"	0.004	0.003
"24145"	0.008	0.009
"24146"	0	-0.003
"24147"	0.019	-0.014
"24148"	-0.006	-0.009
"24149"	0.001	-0.002
"24150"	0.004	0.003
"242"	-0.002	-0.004
"244"	-0.01	-0.012
"2444"	-0.019	0.001
"245"	0.002	0.009
"245711"	0	-0.002
"245802"	0.002	0.002
"245806"	0	0
"245812"	0.002	0
"245908"	0.001	-0.003
"245909"	0.001	0.001
"245910"	0	0
"245911"	0.002	0.002
"245913"	-0.001	-0.001
"245914"	0	-0.002
"245915"	-0.003	-0.002
"245928"	-0.001	-0.001
"245932"	0.003	-0.001
"245934"	0.002	0
"245935"	0	0.001
"245936"	0.002	-0.002
"245937"	-0.001	-0.001
"245938"	0	-0.003
"245939"	0	-0.001
"245972"	0.003	0.001
"245973"	-0.008	-0.01
"246"	0	0
"246100"	0	-0.001
"246119"	0	0
"246122"	0	0.001
"246126"	0.011	0.003
"246175"	0.001	-0.002
"246176"	0.001	-0.001
"246181"	0	0.004
"246182"	0	0
"246184"	0.001	0.001
"246213"	0.001	0.002
"246243"	-0.001	-0.007
"246269"	-0.002	0.001
"246329"	-0.002	-0.001
"246330"	-0.004	-0.002
"246704"	0	-0.003
"246705"	-0.001	0.001
"246721"	-0.004	-0.004
"246734"	0	0.001
"246744"	0	0.004
"246777"	-0.004	-0.006
"246778"	0.001	0
"247"	0.003	0.009
"2475"	-0.006	-0.004
"248"	-0.001	-0.002
"2483"	0.001	0.001
"2487"	0.021	0.006
"2488"	0	0.002
"249"	0.001	-0.016
"2491"	-0.001	0
"2492"	0	-0.002
"2494"	0.008	0
"2495"	-0.012	-0.013
"2497"	0	-0.006
"2498"	-0.001	-0.006
"25"	0.003	-0.002
"250"	0.004	0.001
"2500"	0	-0.001
"2501"	0	-0.004
"2503"	-0.002	-0.009
"2504"	-0.002	-0.005
"251"	-0.001	0
"2512"	0.005	0
"2515"	-0.002	-0.001
"2516"	0	0.001
"2517"	-0.005	0.006
"2519"	-0.005	0.005
"2520"	0.002	0
"2521"	0.001	-0.007
"2523"	0.014	0.012
"2524"	-0.03	0
"2525"	-0.013	-0.014
"2526"	-0.013	-0.022
"2527"	0.003	-0.002
"2528"	-0.001	-0.007
"252839"	-0.012	-0.003
"252884"	0	-0.001
"2529"	0	-0.001
"252946"	0.003	0.003
"252948"	0.001	-0.001
"252949"	0.002	0.001
"252950"	-0.001	0
"252951"	0.001	0.002
"252952"	0	-0.001
"252953"	-0.002	-0.001
"252955"	-0.002	-0.001
"252969"	-0.009	0.001
"252983"	0.007	0.003
"252995"	0.004	0.012
"2530"	0.004	0.013
"253012"	0	0.019
"253017"	0	0
"253018"	-0.004	0.001
"2531"	0.003	0.002
"253128"	0	-0.003
"253143"	0.001	0.004
"253152"	-0.002	0.001
"253175"	-0.001	-0.001
"253190"	-0.005	0.037
"2532"	0.02	-0.003
"253260"	-0.001	0.006
"2533"	-0.005	-0.003
"253314"	-0.001	-0.001
"2534"	0.016	-0.009
"253430"	0	-0.002
"253461"	-0.008	-0.004
"2535"	-0.003	-0.009
"253512"	-0.001	0
"253558"	0	-0.004
"253559"	0.008	0.004
"253573"	0.001	0
"253582"	-0.002	-0.003
"253635"	-0.001	-0.003
"253639"	0.001	0.004
"253650"	0.002	0.001
"2537"	0.011	0.012
"253714"	-0.003	-0.002
"253724"	0.001	0.001
"253725"	-0.006	-0.004
"253738"	0.009	0.003
"253769"	-0.012	-0.003
"253782"	0.022	0.022
"2538"	-0.001	0
"253820"	0	0
"253827"	0.037	-0.002
"253832"	-0.001	0.001
"253868"	0	-0.001
"2539"	0.002	0.007
"253935"	0	-0.001
"253943"	0.002	-0.001
"253959"	0.002	0
"253980"	0	0.003
"253982"	-0.01	-0.004
"254013"	0.002	0.002
"254028"	0	0.001
"254042"	-0.001	-0.002
"254048"	0.002	0.002
"254050"	0.001	0.001
"254065"	-0.001	0.003
"254122"	0.003	0
"254158"	0.001	-0.001
"254170"	0	0.004
"254173"	-0.003	-0.002
"254187"	0.002	0
"2542"	-0.011	-0.007
"254225"	0.001	0.003
"254228"	0.003	0.002
"254240"	0.001	0
"254251"	0.003	0.003
"254263"	0	-0.001
"254268"	0.001	0.001
"254272"	0	-0.001
"254295"	-0.003	0.014
"2543"	0	0
"254312"	0.001	0.003
"254359"	-0.006	0.003
"254394"	0.001	0.004
"254427"	-0.002	0
"254428"	0.018	-0.002
"254528"	0.007	0.013
"254531"	0	0.001
"254552"	-0.001	-0.002
"254559"	0.004	0.003
"2547"	0	-0.002
"254773"	0	0.003
"254778"	-0.01	-0.01
"254783"	0	0
"254786"	0.001	-0.001
"2548"	0.005	0.013
"254827"	0	0.002
"254863"	-0.016	-0.004
"254879"	0	-0.001
"254887"	0.002	0.007
"2549"	0	0
"254910"	-0.001	0.001
"254950"	0.002	-0.001
"254956"	0.001	-0.001
"254958"	0.003	0.005
"254973"	0.001	0.001
"2550"	0.007	0.002
"255022"	0	0
"255025"	0.001	0.001
"255027"	-0.011	-0.005
"255043"	0.004	0.005
"255057"	0.001	0.001
"255061"	0.001	0.002
"255082"	0.006	0.001
"2551"	-0.001	-0.001
"255101"	0	0.001
"255104"	-0.009	-0.006
"255119"	0.001	0.002
"255130"	-0.002	-0.002
"255180"	0	-0.002
"255187"	0.002	-0.001
"255189"	-0.003	0.01
"255193"	0.001	0
"255220"	0.003	0.002
"255231"	0.008	-0.001
"255239"	-0.008	-0.011
"255252"	-0.004	0.001
"255275"	0.001	0.001
"2553"	0.005	0.001
"255313"	-0.001	-0.001
"255324"	0.004	-0.002
"255326"	-0.004	-0.002
"255330"	0.001	-0.001
"255349"	0.001	0
"255352"	-0.001	0.005
"255374"	-0.004	-0.003
"255394"	-0.003	0.013
"2554"	0	-0.002
"255403"	0.001	-0.001
"255411"	0.001	0.001
"255426"	-0.006	-0.006
"255488"	-0.01	0.001
"2555"	0.001	-0.002
"255520"	-0.011	0.005
"2556"	0.001	0.001
"255620"	-0.008	-0.001
"255626"	0	0
"255631"	0.001	0.004
"255649"	-0.001	0
"2557"	-0.004	-0.002
"255725"	0	0.001
"255738"	0.001	-0.001
"255743"	-0.003	0.012
"255758"	-0.007	0.007
"255762"	0.001	0
"255783"	0.004	0.009
"2558"	0	-0.001
"255809"	0.001	0.002
"255812"	0.002	0.003
"255877"	0.01	-0.002
"2559"	0.003	0.004
"255919"	0.002	0.003
"255926"	-0.001	0
"255928"	-0.001	0.001
"255967"	-0.006	-0.003
"2560"	0.001	-0.002
"256006"	0	0
"256051"	0.004	0.005
"256076"	0.001	-0.001
"2561"	-0.001	-0.001
"256130"	-0.002	-0.004
"256144"	-0.001	-0.002
"256148"	-0.001	-0.003
"2562"	0.002	0.001
"256223"	0	-0.002
"256236"	0	0.001
"256281"	-0.002	-0.002
"256297"	0.001	0.002
"2563"	0.006	0.007
"256302"	0	-0.001
"256309"	0.006	0.012
"256329"	-0.002	0.012
"256355"	-0.005	-0.002
"256356"	-0.017	-0.003
"256364"	0.005	-0.001
"256369"	0.001	-0.001
"256374"	0.001	0
"256380"	0.002	0.001
"256394"	-0.002	0.03
"2564"	-0.007	-0.014
"256435"	0.009	-0.003
"256471"	-0.005	0.003
"256472"	0	-0.001
"256483"	0	0.003
"2565"	0.001	0
"256536"	-0.002	0.006
"256586"	-0.001	-0.011
"2566"	0	0
"256643"	-0.002	0.003
"256646"	-0.001	-0.001
"256691"	0.031	0.001
"2567"	-0.001	-0.004
"256710"	0.001	0.003
"256714"	0.003	0.002
"256764"	0.004	0
"2568"	-0.053	-0.052
"256815"	0.004	0.01
"256892"	0	-0.001
"2569"	0.001	-0.001
"256933"	-0.001	-0.002
"256949"	0.008	0.001
"256957"	0	0
"256979"	0.001	0.001
"256987"	0	0
"257"	-0.002	-0.003
"2570"	-0.001	-0.004
"257000"	0.002	0
"257019"	-0.001	-0.005
"257044"	0.001	0.001
"257062"	0	0
"257068"	0.001	0.002
"2571"	0	0.003
"257101"	0.001	0.001
"257103"	-0.002	-0.001
"257106"	-0.005	0.008
"257144"	0.001	0.005
"257160"	-0.001	-0.001
"257169"	0.002	0
"257177"	0	0.002
"257194"	-0.003	-0.003
"2572"	0	-0.003
"257202"	0	-0.002
"257203"	0.002	0
"257218"	-0.002	-0.005
"257236"	-0.003	0.002
"257240"	-0.004	-0.003
"257313"	0	-0.001
"257357"	0	0.001
"257358"	0.001	0.002
"257364"	-0.005	-0.003
"257397"	0.001	0.008
"2574"	0	0
"257415"	0.005	0
"25758"	0.001	-0.001
"25759"	-0.007	0
"2576"	0	0.001
"257629"	0	-0.002
"25763"	0.002	0.003
"25764"	0.006	0.002
"25766"	0.001	0.005
"25769"	-0.002	-0.004
"2577"	0.003	0
"25770"	-0.001	-0.001
"25771"	-0.004	-0.001
"25774"	-0.001	0.003
"25776"	-0.005	0.002
"25777"	-0.001	0.003
"25778"	-0.001	-0.005
"2578"	0.003	0.001
"25780"	0.021	0.014
"25781"	0.002	-0.003
"25788"	0	0
"25789"	0.012	-0.001
"2579"	0.004	0.001
"25791"	-0.014	-0.009
"25792"	-0.005	-0.007
"25793"	-0.005	0.003
"25794"	-0.002	0.004
"25796"	-0.013	-0.006
"25797"	-0.007	-0.013
"25798"	-0.002	0.003
"25799"	0.009	0
"258"	0	-0.001
"2580"	-0.001	0.002
"25800"	0.001	0.017
"25801"	-0.012	-0.002
"25802"	0.023	0.004
"25803"	-0.012	0.023
"25804"	-0.009	-0.003
"25805"	-0.02	0.013
"25806"	-0.006	-0.009
"25807"	0.001	-0.005
"25809"	-0.006	0
"2581"	-0.005	0.005
"25813"	-0.011	-0.008
"25814"	-0.007	-0.006
"25816"	-0.004	0.01
"25817"	0.004	-0.002
"25818"	-0.009	-0.027
"25819"	-0.003	0.001
"2582"	-0.003	0.003
"25820"	0.008	0.008
"25821"	-0.001	-0.003
"25822"	0.002	0.006
"25823"	-0.001	0.019
"25824"	-0.004	0.002
"25825"	-0.001	-0.01
"25827"	-0.008	0.004
"25828"	-0.004	-0.004
"25829"	-0.003	-0.001
"2583"	0.003	0.001
"25830"	-0.001	0.002
"25831"	-0.004	-0.004
"25832"	0.003	0.002
"25833"	-0.007	-0.004
"25834"	0	-0.002
"25836"	0.002	0.002
"25837"	0	0.003
"25839"	-0.009	-0.004
"2584"	-0.02	-0.004
"25840"	0	0.009
"25841"	-0.014	0.002
"25842"	-0.005	-0.012
"25843"	0	0
"25844"	-0.006	0.002
"25847"	-0.008	0.002
"25849"	0.008	0.038
"2585"	-0.004	0
"25850"	-0.002	-0.001
"25851"	-0.002	-0.002
"25852"	0.006	0.001
"25853"	0.002	0.002
"25854"	-0.008	-0.01
"25855"	0.002	-0.001
"25859"	-0.004	-0.004
"25861"	0.008	0.006
"25862"	0.007	0.003
"25864"	-0.003	0.006
"25865"	-0.002	0.005
"2587"	-0.001	-0.001
"25870"	-0.012	0
"25871"	0.003	-0.001
"25873"	0	-0.002
"25874"	-0.005	-0.001
"25875"	-0.013	-0.012
"25876"	-0.001	-0.001
"25878"	0.02	-0.005
"25879"	0.011	0.006
"2588"	0.004	0.006
"25880"	-0.002	0.001
"25884"	-0.003	0.009
"25885"	-0.001	-0.003
"25886"	-0.015	-0.009
"25888"	0.004	-0.002
"2589"	-0.005	-0.004
"25890"	0.015	0.002
"25891"	0.021	0.001
"25893"	-0.002	0.018
"25894"	-0.017	-0.004
"25895"	-0.01	-0.003
"25896"	0.001	0.007
"25897"	-0.003	0
"25898"	0.001	0
"259"	0.001	0
"2590"	-0.004	0.003
"25900"	0.006	0.001
"25901"	-0.015	0
"25902"	0.003	-0.015
"25903"	0.003	0
"25904"	-0.001	-0.004
"25906"	-0.005	-0.004
"25907"	-0.017	-0.006
"25909"	0.002	-0.001
"2591"	0.006	0.001
"25911"	-0.001	0.006
"25912"	-0.003	0.003
"25913"	-0.002	0.002
"25914"	-0.013	-0.009
"25915"	-0.002	0
"25917"	-0.006	-0.001
"259173"	0	0
"259197"	0.001	0
"2592"	-0.007	-0.008
"25920"	-0.002	-0.002
"25921"	0.001	0.001
"259215"	0.002	0.001
"259217"	0.005	0.002
"25923"	-0.005	0.007
"259230"	-0.005	0.008
"259232"	-0.007	-0.011
"259234"	0.001	-0.001
"259236"	0.003	0
"259239"	0.002	-0.002
"25924"	0	0
"259240"	0	0
"259249"	-0.001	-0.001
"25925"	0.004	-0.013
"25926"	0.003	-0.004
"259266"	-0.013	-0.016
"25927"	0.017	0.005
"25928"	-0.002	-0.009
"259282"	0.002	-0.002
"259285"	0	-0.001
"259286"	-0.001	0.001
"259287"	-0.001	0
"259289"	-0.001	-0.003
"25929"	0	-0.009
"259290"	-0.001	-0.001
